Species,Treatment,Plot,LTE,Col,Day,Month,Year,Collection,Sequence,Location,Date,deacc.days,LTEOutliers,YearOutliers
LALA,-2.25,21,-25.40,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-25.58,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-25.68,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-27.38,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-27.45,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-27.63,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-27.70,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-27.78,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-27.88,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-28.10,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-28.30,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-26.20,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-26.40,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-26.67,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-26.69,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-26.82,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,21,-27.04,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,7,-22.17,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,7,-22.25,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,7,-23.37,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,7,-24.21,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,7,-25.51,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,7,-25.56,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,-2.25,7,-25.96,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,19,-24.30,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,19,-24.23,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,6,-22.00,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,6,-22.94,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,6,-23.44,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,6,-23.74,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,6,-26.41,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,6,-26.56,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,0,6,-26.74,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
LALA,2.25,11,-23.36,210925SPRAAT0,25,9,21,SPRAA,AA,SPR,9/25/21,0,0,1
