Date,Species,Treatment,Plot,LTE,Day,Month,Year,Collection,Sequence
2021-09-25,LALA,AMB,21,-25.4,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-25.58,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-25.68,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-27.38,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-27.45,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-27.63,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-27.7,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-27.78,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-27.88,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-28.1,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-28.3,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-26.2,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-26.4,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-26.67,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-26.69,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-26.82,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,21,-27.04,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,7,-22.17,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,7,-22.25,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,7,-23.37,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,7,-24.21,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,7,-25.51,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,7,-25.56,25,9,21,SPRAA,AA
2021-09-25,LALA,AMB,7,-25.96,25,9,21,SPRAA,AA
2021-09-25,LALA,0,19,-24.3,25,9,21,SPRAA,AA
2021-09-25,LALA,0,19,-24.23,25,9,21,SPRAA,AA
2021-09-25,LALA,0,6,-22,25,9,21,SPRAA,AA
2021-09-25,LALA,0,6,-22.94,25,9,21,SPRAA,AA
2021-09-25,LALA,0,6,-23.44,25,9,21,SPRAA,AA
2021-09-25,LALA,0,6,-23.74,25,9,21,SPRAA,AA
2021-09-25,LALA,0,6,-26.41,25,9,21,SPRAA,AA
2021-09-25,LALA,0,6,-26.56,25,9,21,SPRAA,AA
2021-09-25,LALA,0,6,-26.74,25,9,21,SPRAA,AA
2021-09-25,LALA,2.25,11,-23.36,25,9,21,SPRAA,AA
2021-09-25,LALA,2.25,11,-24.73,25,9,21,SPRAA,AA
2021-09-25,LALA,2.25,11,-24.85,25,9,21,SPRAA,AA
