"Year","DOY","Plot","Treat","Snow","SnowSD","Ice","IceSD","Note"
2016,27,2,-2,31,2.9,26.8,3.9,"N/A"
2016,27,4,4.5,1.3,2.5,7.9,8.5,"N/A"
2016,27,5,-2,32,2.4,18.6,13.1,"N/A"
2016,27,6,0,20.5,3.9,16,10.6,"N/A"
2016,27,7,-2,33.4,3.9,5.9,7.3,"N/A"
2016,27,8,6.75,2,2.8,3.8,7.5,"N/A"
2016,27,9,-2,32.8,6.4,30.8,5.9,"N/A"
2016,27,10,9,0,0,4.5,9,"N/A"
2016,27,11,2.25,5.5,1.7,19.5,2.1,"N/A"
2016,27,13,4.5,1.8,1.7,9.5,7.9,"N/A"
2016,27,14,-2,35.5,4.5,27.1,1.9,"N/A"
2016,27,15,-2,32,7.5,23.8,2.1,"N/A"
2016,27,16,6.75,0,0,11.4,7.6,"N/A"
2016,27,17,9,0,0,4.5,1,"N/A"
2016,27,19,0,9.3,4.3,27,2,"N/A"
2016,27,20,2.25,8,3.2,23,0.8,"N/A"
2016,27,21,-2,35,8,29.3,4.4,"N/A"
2016,62,4,4.5,0,0,9,2.3,"N/A"
2016,62,6,0,3.3,2.6,41.4,4.3,"N/A"
2016,62,7,-2,44.4,9.8,12.8,2.8,"N/A"
2016,62,8,6.75,0,0,9.9,2.5,"N/A"
2016,62,10,9,0,0,0.8,0.5,"N/A"
2016,62,11,2.25,0.5,0.5,16,3.5,"N/A"
2016,62,13,4.5,0.3,0.5,17.6,2.9,"N/A"
2016,62,14,-2,36.3,6.6,24.6,5.2,"N/A"
2016,62,16,6.75,0.1,0.4,6,5.5,"N/A"
2016,62,17,9,0,0,4.6,1.7,"N/A"
2016,62,19,0,3.4,2.7,33,6,"N/A"
2016,62,20,2.25,1.9,1.1,20,3.8,"N/A"
2016,62,21,-2,33.9,3.6,27.8,5.4,"N/A"
2016,83,4,4.5,0,0,5.1,6.1,"N/A"
2016,83,6,0,0,0,22.9,5.1,"N/A"
2016,83,7,-2,0.6,0.9,26.5,1.6,"N/A"
2016,83,8,6.75,0,0,0.5,1,"N/A"
2016,83,10,9,0,0,0,0,"N/A"
2016,83,11,2.25,0,0,16.5,1.2,"N/A"
2016,83,13,4.5,0,0,6.5,7.7,"N/A"
2016,83,14,-2,0.8,1.5,28.9,1.7,"N/A"
2016,83,16,6.75,0,0,0,0,"N/A"
2016,83,17,9,0,0,0,0,"N/A"
2016,83,19,0,0,0,23.6,10.3,"N/A"
2016,83,20,2.25,0,0,19.3,1.6,"N/A"
2016,83,21,-2,0.3,0.7,29.8,5.7,"N/A"
2016,91,4,4.5,0,0,3,3.8,"N/A"
2016,91,6,0,0,0,19.3,3.6,"N/A"
2016,91,7,-2,0,0,23.3,6.2,"N/A"
2016,91,8,6.75,0,0,0,0,"N/A"
2016,91,10,9,0,0,0,0,"N/A"
2016,91,11,2.25,0,0,11.3,3.6,"N/A"
2016,91,13,4.5,0,0,3.3,3.8,"N/A"
2016,91,14,-2,0,0,22.1,1.7,"N/A"
2016,91,16,6.75,0,0,0,0,"N/A"
2016,91,17,9,0,0,0,0,"N/A"
2016,91,19,0,0,0,21.4,11.4,"N/A"
2016,91,20,2.25,0,0,17,1.5,"N/A"
2016,91,21,-2,0,0,25.3,5.7,"N/A"
2016,98,4,4.5,0,0,0,0,"N/A"
2016,98,6,0,0,0,9.5,7.1,"N/A"
2016,98,7,-2,0,0,17.8,6.4,"N/A"
2016,98,8,6.75,0,0,0,0,"N/A"
2016,98,10,9,0,0,0,0,"N/A"
2016,98,11,2.25,0,0,7.8,2.6,"N/A"
2016,98,13,4.5,0,0,0.5,1,"N/A"
2016,98,16,6.75,0,0,0,0,"N/A"
2016,98,17,9,0,0,0,0,"N/A"
2016,98,19,0,0,0,16.8,5.6,"N/A"
2016,98,20,2.25,0,0,7,5,"N/A"
2016,98,21,-2,0,0,9.3,4.3,"N/A"
2017,60,4,4.5,0,0,14.8,6.4,"N/A"
2017,60,6,0,0.2,0.5,22.8,9.8,"N/A"
2017,60,7,-2,35,5.3,23.5,4.3,"N/A"
2017,60,8,6.75,0,0,4.9,4.9,"N/A"
2017,60,10,9,0,0,0,0,"N/A"
2017,60,11,2.25,0,0,14.4,9.9,"N/A"
2017,60,13,4.5,0,0,9.1,8.2,"N/A"
2017,60,14,-2,33.1,4.3,26.3,7.1,"N/A"
2017,60,16,6.75,0,0,7.4,5.7,"N/A"
2017,60,17,9,0,0,3.1,3.8,"N/A"
2017,60,19,0,2.9,1.3,26,7.2,"N/A"
2017,60,20,2.25,0,0,10.4,5.3,"N/A"
2017,60,21,-2,28,5.4,26.3,2.9,"N/A"
2017,109,4,4.5,0,0,0,0,"N/A"
2017,109,6,0,0,0,29,7,"N/A"
2017,109,7,-2,0,0,10.3,11.9,"N/A"
2017,109,8,6.75,0,0,0,0,"N/A"
2017,109,10,9,0,0,0,0,"N/A"
2017,109,11,2.25,0,0,8.1,5.9,"N/A"
2017,109,13,4.5,0,0,0,0,"N/A"
2017,109,14,-2,-9999,-9999,-9999,-9999,"N/A"
2017,109,16,6.75,0,0,0,0,"N/A"
2017,109,17,9,0,0,0,0,"N/A"
2017,109,19,0,0,0,31,4.2,"N/A"
